feature,mean_abs_shap
avg_speed_kmph,0.106843416098294
num_classes_offered,0.050481546341439414
num_halts,0.04076405322929162
distance,0.034885551379845774
sleeper,0.02955222259022951
third_ac,0.027496300347332213
first_ac,0.023312562167744987
total_duration_min,0.01816826360337609
chair_car,0.01766408926276393
halts_per_100km,0.0150660505102105
second_ac,0.013288219088691648
zone_clean_SCR,0.010042017105548076
zone_clean_NR,0.008938186326520181
departure_hour,0.003966210463691004
zone_clean_SR,0.0024739910505383565
has_return_train,0.0023608178260275474
zone_clean_CR,0.0022092956059320567
zone_clean_NER,0.0018384057598306296
zone_clean_Unknown,0.001783688424706215
first_class,0.0014436840256783377
zone_clean_WR,0.001441480827646765
zone_clean_SER,0.0011768407069030977
is_night_departure,0.0010883774602888487
zone_clean_ECR,0.0009339125771986824
zone_clean_SWR,0.0009088622131023016
zone_clean_ER,0.0009049545736129199
zone_clean_NFR,0.000844761019572879
zone_clean_NWR,0.0007780077161486175
zone_clean_ECoR,0.0005256517179109118
zone_clean_SECR,0.00028181901503162676
zone_clean_NCR,0.0002489266322210132
zone_clean_KR,0.00023791752084836154
zone_clean_WCR,0.00014521521625320536
